date,ESI,RECESSION,stress_level,Inflation,Labour,Financial,Monetary,Real,ESI_expanding,ESI_ML
1994-02-01,49.12330541370586,0.0,Moderate,,61.34020618556701,46.80851063829788,27.074235807860266,28.82096069868996,43.681572286582,
1994-03-01,46.07653462940793,0.0,Moderate,,60.0,41.66666666666667,27.39130434782609,20.0,40.02979665638477,
1994-04-01,46.16396244270215,0.0,Moderate,,55.61224489795919,36.734693877551024,42.85714285714285,19.047619047619047,39.15941368890165,
1994-05-01,47.74528382548236,0.0,Moderate,,52.28426395939086,14.000000000000002,62.5,7.327586206896551,40.25138827922211,
1994-06-01,51.81681141235693,0.0,Moderate,,53.535353535353536,29.411764705882355,65.66523605150213,4.291845493562231,44.07418760166851,
1994-07-01,50.44965962215291,0.0,Moderate,,53.768844221105525,28.846153846153843,62.39316239316239,4.700854700854701,43.31665927489808,
1994-08-01,49.340191474799,0.0,Moderate,,48.5,32.075471698113205,62.5531914893617,3.404255319148936,42.485072334343016,
1994-09-01,54.30008797875352,0.0,Moderate,,46.766169154228855,50.0,64.40677966101694,3.8135593220338975,48.17358629449383,
1994-10-01,65.44238737979558,0.0,High,,45.54455445544555,74.54545454545455,72.15189873417721,3.375527426160337,55.64046821269529,
1994-11-01,65.83203563239118,0.0,High,,44.33497536945813,57.14285714285714,88.23529411764706,2.941176470588235,53.61198069602699,
1994-12-01,63.59421664891546,0.0,High,,43.62745098039216,35.08771929824561,95.81589958158996,2.510460251046025,57.27830321584161,
1995-01-01,62.31420548963728,0.0,High,,43.90243902439025,31.03448275862069,94.58333333333331,3.333333333333333,56.29258428949724,
1995-02-01,61.98860937738124,0.0,High,,43.203883495145625,33.89830508474576,92.91666666666669,4.166666666666666,56.31524580895741,
1995-03-01,65.16674303588105,0.0,High,,47.82608695652174,60.0,82.5,7.083333333333333,57.86628268146467,
1995-04-01,64.48667447361767,0.0,High,,57.692307692307686,59.01639344262295,75.0,12.083333333333334,57.76363421531925,
1995-05-01,65.3740303568165,0.0,High,,67.46411483253588,48.38709677419355,76.25,16.25,58.53599641061519,
1995-06-01,70.0912723023113,0.0,High,,71.42857142857143,58.730158730158735,77.91666666666667,27.500000000000004,61.50452558682128,
1995-07-01,77.02359598709103,0.0,High,,75.82938388625593,78.125,77.08333333333334,37.083333333333336,67.06747812050986,
1995-08-01,69.94622245087672,0.0,High,,75.47169811320755,56.92307692307692,74.16666666666667,38.333333333333336,60.19718040553565,
1995-09-01,71.11521672363041,0.0,High,,75.11737089201877,40.909090909090914,82.91666666666667,41.25,59.33683013894903,
1995-10-01,83.87665599330295,0.0,Extreme,,75.70093457943925,91.04477611940298,82.91666666666667,54.58333333333333,73.07913351749228,
1995-11-01,72.7085719328439,0.0,High,,77.67441860465117,48.52941176470589,73.75,65.0,60.13862158924686,
1995-12-01,75.34557167343227,0.0,High,,78.70370370370371,44.927536231884055,68.33333333333333,77.91666666666667,60.026798282215374,
1996-01-01,83.90226734226344,0.0,Extreme,,78.80184331797236,84.28571428571429,54.16666666666666,87.91666666666667,70.85938218890982,
1996-02-01,79.51307470056206,0.0,High,,78.44036697247707,81.69014084507043,31.25,78.33333333333333,67.41382216255762,
1996-03-01,87.41722768684716,0.0,Extreme,,79.90867579908677,93.05555555555556,41.25,88.33333333333333,75.60614342940995,
1996-04-01,71.52236423198894,0.0,High,,75.9090909090909,50.68493150684932,50.41666666666666,78.33333333333333,56.311207710331054,
1996-05-01,67.9335174692099,0.0,High,,74.2081447963801,24.324324324324326,56.25,71.25,54.41334977501533,
1996-06-01,59.765484936124246,0.0,Moderate,,65.76576576576578,29.33333333333333,50.83333333333333,60.83333333333333,49.428600898964696,
1996-07-01,62.583325752736656,0.0,High,,62.78026905829597,67.10526315789474,54.16666666666666,52.083333333333336,55.97874696661406,
1996-08-01,55.73075951457201,0.0,Moderate,,54.46428571428571,38.961038961038966,54.58333333333333,57.91666666666667,48.29278021822205,
1996-09-01,57.77244298214537,0.0,Moderate,,57.77777777777777,60.256410256410255,51.24999999999999,53.75,52.62405781970591,
1996-10-01,55.697501369347485,0.0,Moderate,,59.29203539823009,49.36708860759494,44.583333333333336,56.25,49.31572819568983,
1996-11-01,57.53944879365596,0.0,Moderate,,61.67400881057269,50.0,53.75,55.00000000000001,53.56606431559278,
1996-12-01,81.57388436900244,0.0,Extreme,,64.03508771929825,93.82716049382717,49.16666666666666,80.41666666666667,75.61637297656168,
1997-01-01,58.07182849209446,0.0,Moderate,,61.135371179039296,56.09756097560976,55.00000000000001,53.333333333333336,54.00571067519933,
1997-02-01,63.90680998781591,0.0,High,,55.65217391304348,56.62650602409639,53.333333333333336,72.5,53.3287552743569,
1997-03-01,57.64997106042552,0.0,Moderate,,48.05194805194805,38.095238095238095,66.25,54.58333333333333,51.22580647533644,
1997-04-01,77.89014104717717,0.0,High,,44.82758620689656,42.35294117647059,82.08333333333333,91.66666666666666,64.91185423125111,
1997-05-01,82.50582832892236,0.0,Extreme,,43.776824034334766,62.7906976744186,83.75,94.58333333333331,71.51674474504968,
1997-06-01,82.55004842598652,0.0,Extreme,,47.008547008547005,77.01149425287356,83.75,86.25,68.93723607507992,
1997-07-01,79.25599656015157,0.0,High,,44.25531914893617,73.86363636363636,85.41666666666666,77.5,65.5958798525526,
1997-08-01,85.24752856440321,0.0,Extreme,,47.45762711864407,92.13483146067416,82.91666666666667,79.58333333333333,75.13247025117818,
1997-09-01,81.43034095066696,0.0,Extreme,,45.14767932489451,77.77777777777779,82.91666666666667,83.33333333333334,69.26886230310282,
1997-10-01,83.66856229238569,0.0,Extreme,,40.7563025210084,76.92307692307693,85.83333333333333,87.5,72.45793845930801,
